d1.name,d2.name,r2.frequency,r2.avg_years,d3.name
Diabetes,Atrial fibrillation,11800,0.5805084745762712,Hypertension
Diabetes,Atrial fibrillation,10815,0.6207119741100323,Heart failure
Diabetes,Atrial fibrillation,4072,3.492878192534381,Arthrosis/spondylosis
Diabetes,Atrial fibrillation,3502,3.370930896630497,Hyperlipidaemia
Diabetes,Atrial fibrillation,2794,0.3661417322834646,Ischemic heart disease
Diabetes,Atrial fibrillation,1799,3.208449138410228,Chronic kidney disease
Diabetes,Atrial fibrillation,1319,0.4927975739196361,Acquired heart diseases
Diabetes,Atrial fibrillation,1095,3.1799086757990866,COPD
Diabetes,Atrial fibrillation,1002,3.1526946107784433,Motor disorders with no CVA
Diabetes,Atrial fibrillation,947,3.4963041182682155,Anxiety disorder
Diabetes,Atrial fibrillation,531,3.6308851224105463,Obesity
Diabetes,Atrial fibrillation,489,3.2985685071574644,Asthma
Diabetes,Atrial fibrillation,434,3.205069124423963,Retinopathy
Diabetes,Atrial fibrillation,378,3.1507936507936507,Dementia
Diabetes,Atrial fibrillation,348,3.2701149425287355,Extremity arteriopathy diseases
Diabetes,Atrial fibrillation,308,2.8896103896103895,Other organic mental disorder
Diabetes,Atrial fibrillation,307,3.2899022801302933,Mood disorder
Diabetes,Atrial fibrillation,289,2.944636678200692,Other arthropathies
Diabetes,Atrial fibrillation,280,3.2,Tobacco dependence
Diabetes,Atrial fibrillation,278,3.2338129496402876,Hepatic steatosis
Diabetes,Atrial fibrillation,255,2.9529411764705884,Urinary lithiasis
Diabetes,Atrial fibrillation,253,2.7114624505928853,Gout and other crystal deposition diseases
Diabetes,Atrial fibrillation,238,3.1092436974789917,Hypothyroidism
Diabetes,Atrial fibrillation,236,4.72457627118644,Ischemic hepatitis except for cirrhosis
Diabetes,Atrial fibrillation,210,2.7476190476190476,Psoriasis
Diabetes,Atrial fibrillation,201,3.1641791044776117,Osteoporosis
Diabetes,Atrial fibrillation,196,3.142857142857143,Glaucoma
Diabetes,Atrial fibrillation,195,3.2666666666666666,Gastroesophageal reflux disease
Diabetes,Atrial fibrillation,172,3.377906976744186,Alcohol dependence
Diabetes,Atrial fibrillation,156,2.730769230769231,Age-related macular degeneration
Diabetes,Atrial fibrillation,153,2.8627450980392157,Schizophrenia
Diabetes,Atrial fibrillation,114,3.1052631578947367,Colorectal cancer
Diabetes,Atrial fibrillation,106,3.349056603773585,Epilepsy
Diabetes,Atrial fibrillation,98,3.142857142857143,Leukemia
Diabetes,Atrial fibrillation,91,2.802197802197802,Lung and Bronchus Cancer
Diabetes,Atrial fibrillation,86,2.9186046511627906,Collagen diseases and vasculitis
Diabetes,Atrial fibrillation,82,0.5121951219512195,Congenital cardiovascular anomalies
Diabetes,Atrial fibrillation,81,2.950617283950617,Occlusion or stenosis of precerebral arteries
Diabetes,Atrial fibrillation,80,3.675,Extrapyramidal disorder
Diabetes,Atrial fibrillation,67,3.1791044776119404,Sequelae of cerebrovascular diseases
Diabetes,Atrial fibrillation,60,2.8,Bladder cancer
Diabetes,Atrial fibrillation,59,2.6610169491525424,Prostate cancer
Diabetes,Atrial fibrillation,57,2.7719298245614037,Ill-defined cerebrovascular disease and others
Diabetes,Atrial fibrillation,57,3.245614035087719,Rheumatoid arthritis and related diseases
Diabetes,Atrial fibrillation,47,3.872340425531915,Fibromyalgia
Diabetes,Atrial fibrillation,45,3.6666666666666665,Non-Hodgkin's lymphoma
Diabetes,Atrial fibrillation,41,3.268292682926829,Breast cancer
Diabetes,Atrial fibrillation,38,3.0526315789473686,Parkinson disease
Diabetes,Atrial fibrillation,38,3.6315789473684212,Malabsorption and food intolerance
Diabetes,Atrial fibrillation,33,3.5757575757575757,Head and neck cancer
Diabetes,Atrial fibrillation,32,3.53125,Hepatic cirrhosis
Diabetes,Atrial fibrillation,30,3.2333333333333334,Dermatitis
Diabetes,Atrial fibrillation,30,2.8666666666666667,Kidney and renal pelvis cancer
Diabetes,Atrial fibrillation,26,3.3076923076923075,Other developmental disorder
Diabetes,Atrial fibrillation,26,2.923076923076923,Peripheral and visceral artery aneurysms
Diabetes,Atrial fibrillation,24,2.4583333333333335,Thyroid cancer
Diabetes,Atrial fibrillation,22,3.3181818181818183,Uterine cancer
Diabetes,Atrial fibrillation,21,3.5714285714285716,Other functional disorder
Diabetes,Atrial fibrillation,21,2.0952380952380953,Regional enteritis and ulcerative colitis
Diabetes,Atrial fibrillation,20,3.3,Melanoma
Diabetes,Atrial fibrillation,16,3.75,Ovarian cancer
Diabetes,Atrial fibrillation,15,4.0,Disorders of adult personality and behaviour
Diabetes,Atrial fibrillation,15,2.3333333333333335,Intra-abdominal artery disease
Diabetes,Atrial fibrillation,14,2.4285714285714284,Other substance dependece
Diabetes,Atrial fibrillation,12,2.5,Stomach cancer
Diabetes,Atrial fibrillation,10,3.2,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Diabetes,Atrial fibrillation,10,3.1,HIV
Diabetes,Atrial fibrillation,8,2.375,Intellectual disability
Diabetes,Atrial fibrillation,8,2.625,Pancreatic cancer
Diabetes,Atrial fibrillation,6,5.5,Eating disorder
Diabetes,Atrial fibrillation,6,5.0,Bone and soft tissue sarcomas
Diabetes,Atrial fibrillation,5,2.0,Cervical cancer
Diabetes,Atrial fibrillation,5,2.4,Hodgkinâ€™s disease
Diabetes,Atrial fibrillation,4,4.25,Testicular cancer
Diabetes,Atrial fibrillation,4,1.5,Immunoproliferative neoplasm
Diabetes,Atrial fibrillation,4,1.0,Kaposi's sarcoma
Diabetes,Atrial fibrillation,3,2.6666666666666665,Liver and Bile Duct Cancer
Diabetes,Atrial fibrillation,1,1.0,Autism
