d1.name,d2.name,r2.frequency,r2.avg_years,d3.name
Diabetes,Retinopathy,13398,0.9633527392148081,Hypertension
Diabetes,Retinopathy,5123,3.6525473355455786,Arthrosis/spondylosis
Diabetes,Retinopathy,4012,0.5296610169491526,Extremity arteriopathy diseases
Diabetes,Retinopathy,3800,3.7336842105263157,Hyperlipidaemia
Diabetes,Retinopathy,3189,0.9880840388836626,Heart failure
Diabetes,Retinopathy,2686,1.154504839910648,Atrial fibrillation
Diabetes,Retinopathy,2405,0.7476091476091477,Ischemic heart disease
Diabetes,Retinopathy,1529,4.078482668410726,Obesity
Diabetes,Retinopathy,1506,3.7071713147410357,Anxiety disorder
Diabetes,Retinopathy,1502,3.6617842876165114,Chronic kidney disease
Diabetes,Retinopathy,1320,3.371969696969697,COPD
Diabetes,Retinopathy,802,3.7194513715710724,Motor disorders with no CVA
Diabetes,Retinopathy,728,3.3214285714285716,Psoriasis
Diabetes,Retinopathy,727,3.3672627235213204,Urinary lithiasis
Diabetes,Retinopathy,549,0.47176684881602915,Sequelae of cerebrovascular diseases
Diabetes,Retinopathy,527,3.3757115749525615,Glaucoma
Diabetes,Retinopathy,521,3.896353166986564,Other arthropathies
Diabetes,Retinopathy,489,3.5685071574642127,Hepatic steatosis
Diabetes,Retinopathy,480,3.3291666666666666,Osteoporosis
Diabetes,Retinopathy,423,0.7375886524822695,Ill-defined cerebrovascular disease and others
Diabetes,Retinopathy,421,3.5510688836104514,Other organic mental disorder
Diabetes,Retinopathy,420,3.8261904761904764,Mood disorder
Diabetes,Retinopathy,395,3.318987341772152,Hypothyroidism
Diabetes,Retinopathy,391,3.4808184143222505,Tobacco dependence
Diabetes,Retinopathy,387,4.30749354005168,Dementia
Diabetes,Retinopathy,271,3.3726937269372694,Age-related macular degeneration
Diabetes,Retinopathy,257,4.836575875486381,Leukemia
Diabetes,Retinopathy,253,3.7509881422924902,Asthma
Diabetes,Retinopathy,230,5.482608695652174,Ischemic hepatitis except for cirrhosis
Diabetes,Retinopathy,228,1.2850877192982457,Acquired heart diseases
Diabetes,Retinopathy,220,3.1136363636363638,Collagen diseases and vasculitis
Diabetes,Retinopathy,198,3.3434343434343434,Gastroesophageal reflux disease
Diabetes,Retinopathy,189,1.0582010582010581,Occlusion or stenosis of precerebral arteries
Diabetes,Retinopathy,184,3.3206521739130435,Rheumatoid arthritis and related diseases
Diabetes,Retinopathy,151,4.211920529801325,Alcohol dependence
Diabetes,Retinopathy,145,3.524137931034483,Lung and Bronchus Cancer
Diabetes,Retinopathy,141,3.368794326241135,Fibromyalgia
Diabetes,Retinopathy,123,3.3008130081300813,Schizophrenia
Diabetes,Retinopathy,117,3.427350427350427,Gout and other crystal deposition diseases
Diabetes,Retinopathy,114,3.087719298245614,Extrapyramidal disorder
Diabetes,Retinopathy,106,4.2924528301886795,Colorectal cancer
Diabetes,Retinopathy,92,0.5434782608695652,Intra-abdominal artery disease
Diabetes,Retinopathy,90,3.411111111111111,Bladder cancer
Diabetes,Retinopathy,85,0.2823529411764706,Congenital cardiovascular anomalies
Diabetes,Retinopathy,75,3.76,Epilepsy
Diabetes,Retinopathy,74,3.2162162162162162,Kidney and renal pelvis cancer
Diabetes,Retinopathy,73,3.8904109589041096,Dermatitis
Diabetes,Retinopathy,68,3.926470588235294,Malabsorption and food intolerance
Diabetes,Retinopathy,59,0.6779661016949152,Peripheral and visceral artery aneurysms
Diabetes,Retinopathy,54,3.259259259259259,Regional enteritis and ulcerative colitis
Diabetes,Retinopathy,54,3.2962962962962963,Non-Hodgkin's lymphoma
Diabetes,Retinopathy,52,3.7115384615384617,Breast cancer
Diabetes,Retinopathy,51,3.7254901960784315,Parkinson disease
Diabetes,Retinopathy,51,3.176470588235294,Prostate cancer
Diabetes,Retinopathy,47,3.404255319148936,Hepatic cirrhosis
Diabetes,Retinopathy,47,3.3617021276595747,HIV
Diabetes,Retinopathy,44,4.0227272727272725,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Diabetes,Retinopathy,42,3.0714285714285716,Melanoma
Diabetes,Retinopathy,31,4.451612903225806,Head and neck cancer
Diabetes,Retinopathy,29,3.206896551724138,Disorders of adult personality and behaviour
Diabetes,Retinopathy,25,4.4,Other substance dependece
Diabetes,Retinopathy,23,3.5217391304347827,Bone and soft tissue sarcomas
Diabetes,Retinopathy,22,2.727272727272727,Thyroid cancer
Diabetes,Retinopathy,18,3.9444444444444446,Intellectual disability
Diabetes,Retinopathy,18,3.5,Pancreatic cancer
Diabetes,Retinopathy,17,2.9411764705882355,Liver and Bile Duct Cancer
Diabetes,Retinopathy,16,22.4375,Stomach cancer
Diabetes,Retinopathy,13,6.6923076923076925,Other functional disorder
Diabetes,Retinopathy,13,3.3846153846153846,Hodgkinâ€™s disease
Diabetes,Retinopathy,11,4.636363636363637,Other developmental disorder
Diabetes,Retinopathy,11,3.909090909090909,Uterine cancer
Diabetes,Retinopathy,11,4.090909090909091,Ovarian cancer
Diabetes,Retinopathy,10,2.4,Kaposi's sarcoma
Diabetes,Retinopathy,6,4.333333333333333,Immunoproliferative neoplasm
Diabetes,Retinopathy,5,2.6,Cervical cancer
Diabetes,Retinopathy,3,2.0,Eating disorder
Diabetes,Retinopathy,3,3.0,Testicular cancer
Diabetes,Retinopathy,2,3.5,Autism
